Time_s,Nodes,Columns,LB,UB,Gap
2778.25,106,26637,27600.991626,36815.000000,33.3829
2785.39,107,26637,27581.817810,36815.000000,33.4756
2798.45,108,26652,27581.278970,36815.000000,33.4782
2805.31,109,26668,27581.278970,36815.000000,33.4782
2808.15,110,26668,27581.817810,36815.000000,33.4756
2931.09,111,27298,27623.071260,36815.000000,33.2763
2939.71,112,27298,27623.071260,36815.000000,33.2763
2941.71,113,27298,27653.057548,36815.000000,33.1318
2963.26,114,27315,27653.057548,36815.000000,33.1318
2979.5,115,27328,27626.171510,36815.000000,33.2613
3115.47,116,28074,27626.171510,36815.000000,33.2613
3124.54,117,28074,27658.868584,36815.000000,33.1038
3145.83,118,28105,27658.868584,36815.000000,33.1038
3156.92,119,28140,27675.090958,36815.000000,33.0258
3190.4,120,28188,27675.090958,36815.000000,33.0258
3290.19,121,28319,27680.384918,36815.000000,33.0003
3303.74,122,28319,27680.384918,36815.000000,33.0003
3312.57,123,28332,27686.717610,36815.000000,32.9699
3324.76,124,28346,27686.717610,36815.000000,32.9699
3335.56,125,28361,27676.835790,36815.000000,33.0174
3517.41,126,30012,27676.835790,36815.000000,33.0174
3529.04,127,30027,27689.668630,36815.000000,32.9557
3550.34,128,30043,27689.668630,36815.000000,32.9557
3563.6,129,30056,27690.595980,36815.000000,32.9513
3576.07,130,30056,27690.595980,36815.000000,32.9513
